open,high,low,close,volume
3828.25,3840.0,3801.25,3821.25,1717770.0
3822.75,3825.0,3741.25,3789.5,2394361.0
3782.0,3833.5,3744.5,3827.25,1752977.0
3828.5,3857.75,3744.0,3834.0,2031501.0
3838.0,3875.0,3808.75,3848.25,1684324.0
3853.75,3914.25,3832.5,3905.0,1314443.0
3897.0,3922.0,3868.0,3901.25,1485497.0
3900.0,3900.75,3850.0,3856.75,1486103.0
3862.0,3876.5,3804.75,3823.75,1640864.0
3825.0,3873.0,3752.0,3804.5,2157968.0
3795.75,3806.25,3723.75,3793.25,1916260.0
3797.75,3868.25,3780.25,3865.0,1523753.0
3878.5,3909.5,3820.25,3833.75,1439590.0
3838.5,3948.0,3834.0,3937.5,1611604.0
3947.0,3977.25,3922.25,3962.5,1734355.0
3954.0,4004.75,3930.25,4001.25,1821097.0
3988.0,4016.25,3941.5,3965.0,1736592.0
3967.75,3988.75,3946.0,3970.0,1493471.0
3959.0,3964.5,3913.25,3923.25,1589161.0
3939.25,4042.75,3938.75,4024.5,1740431.0
4022.0,4111.0,3994.5,4073.5,2014467.0
4105.0,4144.0,4081.0,4133.5,1919598.0
4137.5,4147.25,4097.0,4120.5,1776936.0
4119.75,4143.0,4080.5,4093.75,1892241.0
4097.0,4170.0,4084.5,4156.25,1696602.0
4150.25,4173.25,4136.0,4152.25,1245063.0
4152.0,4166.25,4103.75,4146.75,1722401.0
4149.75,4188.0,4129.25,4141.75,1536449.0
4148.5,4155.0,4113.0,4124.5,1280085.0
4128.75,4213.5,4113.75,4210.0,1627940.0
4210.75,4260.5,4202.75,4209.75,1598130.0
4219.25,4282.75,4208.25,4281.0,1300170.0
4277.0,4304.75,4249.0,4298.25,1317241.0
4294.5,4327.5,4278.75,4307.75,1363248.0
4309.25,4315.0,4255.0,4276.75,1638797.0
4279.5,4295.5,4258.0,4286.5,1366220.0
4287.0,4288.0,4220.75,4231.5,1701251.0
4221.0,4221.5,4131.5,4141.25,1724203.0
4147.0,4161.75,4118.0,4130.5,1575674.0
4128.25,4158.5,4110.75,4142.75,1348612.0
4148.75,4202.75,4143.0,4201.0,1635476.0
4198.25,4217.25,4042.75,4059.5,2241117.0
4024.0,4064.0,4006.75,4031.25,1963446.0
4035.75,4072.75,3964.5,3987.5,2555455.0
3987.25,4018.25,3953.0,3956.5,2366488.0
3958.0,3971.25,3903.5,3968.75,2212034.0
3967.5,4019.25,3906.0,3924.5,2510355.0
3929.0,3963.25,3886.75,3910.5,2360326.0
3907.5,3988.75,3883.5,3980.0,1956209.0
3980.0,4011.5,3942.75,4005.5,2356008.0
4010.25,4077.25,4005.75,4067.25,1677890.0
4077.25,4119.75,4062.25,4110.75,1718859.0
4118.25,4158.0,3919.75,3931.25,1418271.0
3936.75,3962.75,3911.25,3947.5,662596.0
3955.0,3959.5,3888.0,3902.0,438921.0
3888.5,3888.5,3846.0,3871.239990234375,2688630.0
3889.5,3927.0,3846.25,3917.25,2100098.0
3923.0,3936.25,3843.25,3872.75,2357296.0
3878.75,3925.25,3792.0,3806.25,2440206.0
3794.0,3833.0,3763.5,3772.0,2578314.0
3777.25,3783.25,3660.25,3709.0,2913560.0
3705.25,3730.5,3657.5,3670.0,2899415.0
3668.0,3733.0,3635.25,3661.0,2963065.0
3668.5,3751.25,3613.0,3732.0,2780935.0
3730.25,3736.0,3622.0,3654.25,2860631.0
3656.5,3693.75,3595.25,3601.5,2976179.0
3593.25,3711.75,3571.75,3690.25,2315515.0
3696.5,3808.75,3686.25,3803.25,2381497.0
3801.0,3820.0,3734.0,3794.0,2089198.0
3795.75,3819.5,3750.0,3756.75,2157569.0
3745.75,3770.5,3632.5,3653.25,2238683.0
3638.75,3667.5,3600.0,3625.25,2024447.0
3624.75,3653.25,3579.0,3599.25,2398140.0
3607.0,3635.25,3585.5,3588.5,1948173.0
3596.25,3697.75,3502.0,3681.75,3288646.0
3680.25,3733.75,3591.25,3597.5,2730405.0
3591.0,3702.5,3590.5,3689.25,1951998.0
3706.25,3777.25,3697.25,3732.75,2746886.0
3759.75,3774.25,3676.75,3707.25,2348844.0
3708.0,3748.0,3666.25,3675.25,2403705.0
3677.75,3773.25,3641.5,3764.0,2681019.0
3771.0,3822.0,3736.5,3809.25,2109780.0
3803.25,3874.25,3790.0,3870.25,1836723.0
3841.0,3897.5,3824.25,3841.0,2118534.0
3844.25,3870.75,3757.5,3819.5,2211786.0
3798.25,3924.25,3776.75,3911.25,2084386.0
3911.5,3914.75,3872.25,3883.0,2002625.0
3884.0,3928.0,3852.5,3866.0,1895614.0
3863.0,3907.0,3760.25,3768.75,2210708.0
3766.75,3782.5,3704.25,3727.75,1887557.0
3724.0,3805.5,3711.0,3779.5,2494788.0
3750.0,3821.75,3738.25,3815.25,1483146.0
3812.75,3867.0,3792.75,3835.25,1878046.0
3832.5,3848.75,3750.0,3755.5,1889153.0
3757.0,3973.5,3751.5,3961.0,2408104.0
3973.0,4009.75,3951.0,4000.25,1927068.0
3984.0,4017.5,3964.0,3966.0,1592615.0
3974.75,4050.75,3960.0,3999.5,2230543.0
3992.0,4015.75,3962.0,3968.5,1502501.0
3977.25,3990.25,3912.5,3955.25,1560808.0
3960.5,3994.0,3942.5,3974.0,1534155.0
3972.5,3982.0,3937.5,3958.0,1178421.0
3957.75,4012.5,3945.25,4010.25,1161999.0
4010.0,4039.5,4002.0,4033.0,1281153.0
4038.75,4049.25,4024.75,4032.5,608795.0
4020.25,4024.0,3960.25,3970.25,1481503.0
3972.0,3990.25,3941.25,3962.0,1500171.0
3962.25,4093.5,3942.75,4081.25,2479997.0
4094.5,4110.0,4054.5,4081.75,1834073.0
4077.5,4085.5,4006.75,4075.5,1849784.0
4074.0,4075.75,3987.25,4003.25,1497688.0
4005.75,4014.75,3921.5,3945.0,1869101.0
3944.5,3961.5,3914.0,3936.75,1756473.0
3935.75,3977.25,3916.0,3965.75,1708915.0
3964.75,3990.0,3930.0,3936.25,1739761.0
3933.0,3992.75,3924.5,3991.75,1619977.0
3989.25,4145.0,3985.0,4022.25,1419560.0
4021.75,4073.0,3965.25,3998.0,712439.0
4004.25,4010.25,3878.5,3897.0,560669.0
3890.5,3904.25,3842.0,3871.469970703125,1965701.0
3874.0,3899.0,3827.25,3845.5,1405774.0
3842.75,3866.5,3803.5,3849.25,1541868.0
3857.25,3918.75,3855.5,3905.75,1522069.0
3915.0,3919.75,3788.5,3849.25,1842326.0
3850.0,3872.5,3821.25,3869.75,1374913.0
3878.0,3900.5,3837.25,3855.0,1006414.0
3858.0,3875.0,3804.5,3807.5,1282810.0
3811.0,3882.75,3806.25,3871.75,1146984.0
3869.75,3871.0,3821.5,3861.0,1401810.0
3895.0,3906.75,3814.5,3846.0,1782473.0
3842.75,3896.25,3836.5,3874.5,1912155.0
3871.0,3885.5,3822.5,3829.0,1679973.0
3833.0,3928.75,3819.0,3915.5,2026154.0
3918.5,3973.25,3909.75,3913.75,1697887.0
3914.5,3943.75,3891.5,3940.75,1520955.0
3941.0,3992.5,3934.5,3990.0,1398769.0
3991.75,4021.5,3954.0,4003.5,2102587.0
4003.0,4024.25,3961.75,4018.25,1456784.0
4020.0,4035.25,3996.75,4009.5,1423931.0
4008.5,4033.5,3943.75,3945.75,1902551.0
3945.25,3948.75,3901.75,3915.5,1896890.0
3925.0,3990.5,3911.75,3988.5,1620355.0
3987.0,4056.75,3980.25,4036.5,1594736.0
4036.5,4047.5,4005.25,4032.75,1472856.0
4039.0,4040.5,3963.25,4032.0,1760515.0
4031.0,4077.0,4027.25,4075.5,1613804.0
4065.0,4109.25,4057.25,4084.25,1587936.0
4077.0,4086.0,4029.5,4032.5,1786112.0
4039.25,4091.25,4007.5,4090.0,1790751.0
4085.75,4163.25,4048.5,4132.25,2000400.0
4145.5,4208.5,4136.75,4191.5,2290729.0
4176.0,4194.0,4132.5,4147.75,2354996.0
4134.25,4143.0,4104.0,4123.5,1560324.0
4123.5,4188.25,4098.25,4175.75,2180936.0
4167.25,4179.25,4121.25,4130.5,1804101.0
4132.25,4170.25,4078.25,4091.75,1828571.0
4098.0,4104.25,4060.75,4099.75,1744956.0
4105.0,4150.75,4078.75,4147.25,1376325.0
4149.75,4186.5,4103.75,4145.5,2379034.0
4141.25,4161.75,4113.0,4158.25,1611550.0
4159.0,4168.5,4095.0,4099.75,2042993.0
4095.5,4096.0,4055.75,4087.5,2008448.0
4083.0,4089.25,4002.0,4005.75,1883040.0
4007.5,4025.0,3983.75,3999.0,1925300.0
4010.0,4034.25,3974.25,4018.75,1955820.0
4015.25,4023.25,3947.5,3975.75,2063242.0
3976.5,4024.75,3973.0,3988.0,1621961.0
3991.5,4003.75,3965.0,3975.5,1847930.0
3968.5,3991.0,3943.0,3956.5,2042321.0
3959.75,3995.25,3925.0,3984.75,1836555.0
3983.0,4053.0,3974.0,4049.75,1665102.0
4049.25,4082.5,4041.75,4052.5,1528845.0
4053.75,4064.5,3982.5,3989.75,2141615.0
3990.0,4003.25,3971.5,3995.0,1831712.0
3997.0,4019.75,3909.5,3920.0,2547423.0
3919.0,3941.75,3846.25,3862.75,3285811.0
3887.75,3938.75,3808.75,3856.75,2750477.0
3865.75,3938.0,3855.25,3920.5,1606509.0
3920.5,3931.0,3834.0,3892.75,833643.0
3892.75,3966.5,3863.25,3960.5,466914.0
3962.25,3974.0,3923.0,3957.050048828125,2224268.0
3963.75,3989.5,3897.25,3983.0,1818807.0
3986.5,4043.25,3981.75,4035.75,1531670.0
4038.75,4073.75,3966.25,3970.5,1802929.0
3972.75,4039.5,3948.5,3978.0,2236954.0
3988.75,4010.75,3937.0,4001.25,1944981.0
4008.0,4034.25,3997.5,4007.25,1304572.0
4013.5,4023.75,3980.75,4001.5,1224495.0
4006.5,4061.25,4006.0,4057.5,1389352.0
4058.0,4087.75,4052.5,4080.0,1328529.0
4081.0,4142.5,4078.0,4137.75,1695840.0
4127.0,4157.75,4122.75,4153.75,1380286.0
4152.5,4171.75,4115.25,4129.0,1582414.0
4134.0,4135.5,4099.0,4117.25,1470176.0
4113.75,4135.25,4096.5,4132.0,73009.0
4139.0,4143.0,4098.75,4136.25,1167715.0
4138.5,4151.75,4128.75,4136.5,1221824.0
4137.5,4177.75,4113.5,4119.0,1853671.0
4117.5,4177.0,4110.25,4172.75,1458785.0
4168.75,4189.0,4138.0,4163.75,1882896.0
4174.25,4180.5,4148.0,4176.75,1298123.0
4177.0,4198.25,4164.5,4180.0,1427797.0
4176.0,4187.5,4150.5,4178.5,1292622.0
4172.25,4173.5,4137.0,4152.5,1768379.0
4153.75,4161.0,4135.25,4156.75,1645161.0
4150.0,4164.25,4133.5,4159.5,1328041.0
4157.25,4158.5,4091.5,4093.25,1770908.0
4110.25,4116.25,4068.75,4076.0,1814741.0
4085.5,4166.5,4080.75,4153.75,1686692.0
4151.0,4193.75,4131.5,4188.5,1753803.0
4190.0,4206.25,4178.5,4185.75,1240490.0
4179.5,4191.5,4105.5,4136.75,2034176.0
4133.25,4167.0,4095.0,4107.5,1658392.0
4087.0,4118.0,4062.25,4075.75,1994772.0
4077.25,4163.25,4076.75,4150.25,1545895.0
