country,value,real_growth_qoq,real_growth_yoy
United States,21903850000000,-0.002575,0.04015
United States,21919222000000,0.0007019999999999999,0.024789
United States,22066784000000,0.006732,0.022964000000000002
United States,22249460000000,0.008278,0.013163000000000001
United States,22403436000000,0.006919999999999999,0.022808000000000002
United States,22539418000000,0.00607,0.028290000000000003
United States,22780932000000,0.010714999999999999,0.03236
United States,22960600000000,0.007887,0.03196
United States,23053544000000,0.0040479999999999995,0.02902
United States,23223906000000,0.00739,0.030369999999999998
United States,23400294000000,0.007594999999999999,0.02719
United States,23542348000000,0.006071,0.025339999999999998
United States,23512716000000,-0.0012590000000000001,0.019918
United States,23685288000000,0.00734,0.019867
